"ticket","year","country","error","mape","disper","esg_score","esg_comb","env_pillar","social_pillar","gov_pillar","qanalyst"
"000080.KS",2014,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,16.14,16
"000080.KS",2015,"Korea; Republic (S. Korea)",0,0,0.181,15,15,15,17,15,13
"000080.KS",2016,"Korea; Republic (S. Korea)",0,0,0.17,15,15,15,17,15,17
"000080.KS",2017,"Korea; Republic (S. Korea)",0,0,0.184,15,15,15,17,15,17
"000080.KS",2018,"Korea; Republic (S. Korea)",0,0,0.177,15,15,15.66,17,15,16
"000080.KS",2019,"Korea; Republic (S. Korea)",0,0,0.299,17.84,17.84,15,17,28.75,14
"000080.KS",2020,"Korea; Republic (S. Korea)",0,0,0.362,15,15,16.42,17,15.39,21
"000080.KS",2021,"Korea; Republic (S. Korea)",1.84,0.002,0.091,23.09,23.09,38.02,17,21.49,16
"000080.KS",2022,"Korea; Republic (S. Korea)",0,0,0.144,25.67,25.67,42.03,17,29.45,14
"000080.KS",2023,"Korea; Republic (S. Korea)",0,0,0.073,15,15,15,17,15,15
"000100.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0,15,15,15,17,33.75,10
"000100.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0,18.85,18.85,15,17,45.37,12
"000100.KS",2016,"Korea; Republic (S. Korea)",0.663,0.002,0.107,15,15,15,17,29.53,17
"000100.KS",2017,"Korea; Republic (S. Korea)",0.377,0.002,0.085,16.91,16.91,15,17,24.1,15
"000100.KS",2018,"Korea; Republic (S. Korea)",0.434,0.002,0.085,26.66,26.66,29.2,19.42,35.61,17
"000100.KS",2019,"Korea; Republic (S. Korea)",0.31,0.002,0.258,34.5,34.5,44.56,21.69,46.27,16
"000100.KS",2020,"Korea; Republic (S. Korea)",0.306,0.002,0.125,35.77,35.77,51.35,29.27,33.64,16
"000100.KS",2021,"Korea; Republic (S. Korea)",0,0,0.129,54.65,54.65,71.02,64.49,27.93,22
"000100.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.095,62.61,62.61,72.42,72.49,40.64,24
"000100.KS",2023,"Korea; Republic (S. Korea)",1.799,0.002,0.204,15,15,15,17,15,15
"000120.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.097,15,15,15,17,15,18
"000120.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.298,28.09,28.09,33.44,17.71,35.18,17
"000120.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.33,54.38,54.38,64.28,55.4,41.18,20
"000120.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.233,55.2,55.2,63.07,56.85,43.61,22
"000120.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.21,55.95,55.95,65.27,56.74,43.73,19
"000120.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.237,58.74,58.74,53.53,59.07,64.57,23
"000120.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.258,54.36,54.36,59.07,61.99,38.78,18
"000120.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.161,58.81,38.23,49.65,76,43.95,14
"000120.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.362,56.57,56.57,55.83,76,28.87,14
"000120.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.11,15,15,15,17,15,14
"000150.KS",2014,"Korea; Republic (S. Korea)",0.406,0.002,0.333,50.5,50.5,50.43,49.77,51.79,15
"000150.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.234,62.44,62.44,59.19,64.3,64.2,12
"000150.KS",2016,"Korea; Republic (S. Korea)",2.097,0.002,0.362,59.46,59.46,60.29,55.55,64.62,14
"000150.KS",2017,"Korea; Republic (S. Korea)",0.395,0.002,0.113,70.23,70.23,72.12,64.24,77,13
"000150.KS",2018,"Korea; Republic (S. Korea)",0.878,0.002,0.261,74,74,74,76,54.07,10
"000150.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.362,74,74,74,76,77,6
"000150.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.362,71.05,71.05,70.26,76,59.12,5
"000150.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.324,69.6,69.6,73,75.57,54.88,0
"000150.KS",2022,"Korea; Republic (S. Korea)",0,0,0.154,63.81,63.81,71.39,67.97,45.93,7
"000150.KS",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,10
"000210.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.06,51.37,38.18,53.89,45.17,52.97,36
"000210.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.362,35.18,35.18,25.56,31.66,61.07,32
"000210.KS",2016,"Korea; Republic (S. Korea)",0,0,0.102,34.99,34.99,33.26,22.94,59.97,29
"000210.KS",2017,"Korea; Republic (S. Korea)",0,0,0.099,41.11,41.11,56.89,23.27,43.46,30
"000210.KS",2018,"Korea; Republic (S. Korea)",0,0,0.152,47.43,47.43,62.46,31.7,47.52,27
"000210.KS",2019,"Korea; Republic (S. Korea)",0,0,0.088,60.68,60.68,73.02,46.66,62.62,22
"000210.KS",2020,"Korea; Republic (S. Korea)",0.059,0.002,0.065,68,68,74,53.15,77,5
"000210.KS",2021,"Korea; Republic (S. Korea)",0.508,0.002,0.092,73.77,73.77,71.88,73.57,77,5
"000210.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.362,74,74,74,74.87,77,2
"000210.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.301,15,15,15,17,15,14
"000240.KS",2014,"Korea; Republic (S. Korea)",1,0.002,0.184,40.96,40.96,15,46.38,77,1
"000240.KS",2015,"Korea; Republic (S. Korea)",1,0.002,0,39.65,39.65,15,41.74,77,4
"000240.KS",2016,"Korea; Republic (S. Korea)",1,0.002,0.036,36.16,36.16,15,37.67,72.97,4
"000240.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.031,34.03,34.03,15,43.52,60.74,4
"000240.KS",2018,"Korea; Republic (S. Korea)",1,0.002,0.031,29.31,29.31,15,38.01,50.06,3
"000240.KS",2019,"Korea; Republic (S. Korea)",1,0.002,0.048,34.12,29.96,15,39.86,65.21,2
"000240.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.098,31.96,31.96,15,45.87,50.07,3
"000240.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.093,37.63,37.63,16.25,45.09,53.52,2
"000240.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.086,48.33,48.33,25.9,71.22,45.26,0
"000240.KS",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"000270.KS",2014,"Korea; Republic (S. Korea)",1,0.002,0.362,61.29,61.29,70.45,65.24,41.72,45
"000270.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.039,68.55,68.55,74,65.21,66.63,39
"000270.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.042,63.3,53.79,62.61,62.95,64.86,41
"000270.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.036,63.3,57.9,65.62,60.21,65.32,37
"000270.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.122,64.76,47.82,74,53.45,60.92,30
"000270.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.056,67.57,50.23,74,56.96,60.88,28
"000270.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.063,63.85,41.38,74,60.05,39.25,29
"000270.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.107,74,74,74,73.04,58.09,31
"000270.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.037,74,46.05,74,76,68.37,30
"000270.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.071,15,15,15,17,15,32
"000660.KS",2014,"Korea; Republic (S. Korea)",2.08,0.002,0.038,74,74,59.93,76,70.9,44
"000660.KS",2015,"Korea; Republic (S. Korea)",1.948,0.002,0.03,74,74,65.82,76,66.37,41
"000660.KS",2016,"Korea; Republic (S. Korea)",0.08,0.002,0.066,74,74,61.55,76,68.59,39
"000660.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.019,74,49.27,67.84,76,76.74,36
"000660.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.028,74,74,67.67,76,77,42
"000660.KS",2019,"Korea; Republic (S. Korea)",0.057,0.002,0.085,74,74,64.69,76,77,37
"000660.KS",2020,"Korea; Republic (S. Korea)",0.61,0.002,0.064,74,74,64.04,76,77,40
"000660.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.056,74,53.21,63.41,76,77,40
"000660.KS",2022,"Korea; Republic (S. Korea)",1.915,0.002,0.173,74,74,63.32,75.81,77,39
"000660.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.076,15,15,15,17,15,38
"000720.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.059,73.75,42.23,74,63.18,75.8,33
"000720.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.138,74,74,74,76,62.06,34
"000720.KS",2016,"Korea; Republic (S. Korea)",0,0,0.093,74,74,74,76,61.03,35
"000720.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.106,74,74,74,76,75.07,29
"000720.KS",2018,"Korea; Republic (S. Korea)",0,0,0.191,74,74,74,68.4,64.76,31
"000720.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.12,74,74,74,76,77,29
"000720.KS",2020,"Korea; Republic (S. Korea)",0,0,0.089,74,74,74,76,69.68,28
"000720.KS",2021,"Korea; Republic (S. Korea)",0.079,0.002,0.168,74,74,74,76,49.31,24
"000720.KS",2022,"Korea; Republic (S. Korea)",0.884,0.002,0.114,74,74,74,76,51.15,23
"000720.KS",2023,"Korea; Republic (S. Korea)",0.724,0.002,0.114,15,15,15,17,15,24
"000880.KS",2014,"Korea; Republic (S. Korea)",0.591,0.002,0.18,21.24,21.24,21.82,17,42.29,8
"000880.KS",2015,"Korea; Republic (S. Korea)",1.064,0.002,0.362,40.34,40.34,53.54,21.04,64.82,13
"000880.KS",2016,"Korea; Republic (S. Korea)",0.973,0.002,0.115,33.84,33.84,52.3,17.84,54.61,16
"000880.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.12,32.97,32.97,50.44,17,54.89,11
"000880.KS",2018,"Korea; Republic (S. Korea)",0.05,0.002,0.138,45.66,45.66,49.66,36.63,62.57,12
"000880.KS",2019,"Korea; Republic (S. Korea)",0.808,0.002,0.271,57.08,57.08,50.63,53.49,70.81,14
"000880.KS",2020,"Korea; Republic (S. Korea)",0.841,0.002,0.128,52.33,52.33,50.03,53.06,59.48,11
"000880.KS",2021,"Korea; Republic (S. Korea)",0.888,0.002,0.307,61.08,61.08,64.21,59.01,68.87,8
"000880.KS",2022,"Korea; Republic (S. Korea)",0.909,0.002,0.287,73.7,73.7,72.55,76,62.35,8
"000880.KS",2023,"Korea; Republic (S. Korea)",0.979,0.002,0.296,15,15,15,17,15,9
"001040.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.057,16.25,16.25,15,17,36.25,11
"001040.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.207,15,15,15,17,18.1,13
"001040.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.097,15,15,15,17,16.14,13
"001040.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.065,18.35,18.35,15,17,57.06,11
"001040.KS",2018,"Korea; Republic (S. Korea)",0.369,0.002,0.183,15,15,15,17,24.69,9
"001040.KS",2019,"Korea; Republic (S. Korea)",0.098,0.002,0.225,21.8,21.8,32.33,17,30.44,10
"001040.KS",2020,"Korea; Republic (S. Korea)",0.425,0.002,0.209,48.46,48.46,60.84,27.27,71.46,8
"001040.KS",2021,"Korea; Republic (S. Korea)",0.642,0.002,0.291,50.19,50.19,74,29.73,57.2,8
"001040.KS",2022,"Korea; Republic (S. Korea)",0.64,0.002,0.112,60.35,60.35,74,44.62,67.43,9
"001040.KS",2023,"Korea; Republic (S. Korea)",0.565,0.002,0.142,15,15,15,17,15,0
"001230.KS",2014,"Korea; Republic (S. Korea)",0,0,0.205,15,15,15,17,15,6
"001230.KS",2015,"Korea; Republic (S. Korea)",0,0,0.362,15,15,15,17,27.47,4
"001230.KS",2016,"Korea; Republic (S. Korea)",0,0,0.03,15,15,15,17,38.69,2
"001230.KS",2017,"Korea; Republic (S. Korea)",0,0,0.273,18.49,18.49,31.26,17,28.17,4
"001230.KS",2018,"Korea; Republic (S. Korea)",0,0,0.267,17.47,17.47,36.76,17,16.07,8
"001230.KS",2019,"Korea; Republic (S. Korea)",0,0,0.362,21.14,21.14,37.36,17,15.21,7
"001230.KS",2020,"Korea; Republic (S. Korea)",0,0,0.362,29.18,29.18,59.76,17,15,7
"001230.KS",2021,"Korea; Republic (S. Korea)",0,0,0.057,41.59,41.59,72.13,32.98,15,7
"001230.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.064,55.98,55.98,67.05,67.69,20.91,7
"001230.KS",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"001740.KS",2014,"Korea; Republic (S. Korea)",2.086,0.002,0.133,15,15,15,17,19.38,7
"001740.KS",2015,"Korea; Republic (S. Korea)",0.97,0.002,0.209,15,15,15,17,22.81,7
"001740.KS",2016,"Korea; Republic (S. Korea)",0.974,0.002,0.249,15,15,16.71,17,15.94,6
"001740.KS",2017,"Korea; Republic (S. Korea)",1.009,0.002,0.362,15,15,15,17,20.37,8
"001740.KS",2018,"Korea; Republic (S. Korea)",0.984,0.002,0.362,25.21,25.21,46.24,17,25.23,9
"001740.KS",2019,"Korea; Republic (S. Korea)",0.993,0.002,0.362,31.84,31.84,47.69,26.05,28.98,7
"001740.KS",2020,"Korea; Republic (S. Korea)",0.979,0.002,0.165,49.92,49.92,52.2,49.54,48.69,7
"001740.KS",2021,"Korea; Republic (S. Korea)",0.959,0.002,0.202,58.21,58.21,51.58,63.83,53.73,6
"001740.KS",2022,"Korea; Republic (S. Korea)",0.955,0.002,0.046,59.06,59.06,53.61,61.44,59.36,6
"001740.KS",2023,"Korea; Republic (S. Korea)",0.973,0.002,0.053,15,15,15,17,15,5
"001800.KS",2014,"Korea; Republic (S. Korea)",0.674,0.002,0.277,15,15,15,17,18.79,28
"001800.KS",2015,"Korea; Republic (S. Korea)",0.325,0.002,0.128,15,15,15,17,30.44,29
"001800.KS",2016,"Korea; Republic (S. Korea)",0.776,0.002,0.362,15,15,15,17,27.58,32
"001800.KS",2017,"Korea; Republic (S. Korea)",0.351,0.002,0.089,15,15,15,17,15.75,3
"001800.KS",2018,"Korea; Republic (S. Korea)",0.39,0.002,0.116,15,15,15,17,15,0
"001800.KS",2019,"Korea; Republic (S. Korea)",0,0,0,15.47,15.47,15,17,23.23,0
"001800.KS",2020,"Korea; Republic (S. Korea)",0,0,0,18.99,18.99,33.32,17,15,0
"001800.KS",2021,"Korea; Republic (S. Korea)",0,0,0,22.12,22.12,22.19,21.31,23.45,0
"001800.KS",2022,"Korea; Republic (S. Korea)",0,0,0,25.21,25.21,21.46,30.66,19.93,0
"001800.KS",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,1
"002380.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.076,44.33,44.33,61.03,38.32,25.02,11
"002380.KS",2015,"Korea; Republic (S. Korea)",0.996,0.002,0.225,61.12,61.12,64.86,48.23,76.33,16
"002380.KS",2016,"Korea; Republic (S. Korea)",0.995,0.002,0.269,57.33,57.33,63.47,44.36,68.46,15
"002380.KS",2017,"Korea; Republic (S. Korea)",0.996,0.002,0.066,59.73,59.73,69.95,44.27,67.89,12
"002380.KS",2018,"Korea; Republic (S. Korea)",0.994,0.002,0.062,64.03,64.03,74,48.2,68.44,12
"002380.KS",2019,"Korea; Republic (S. Korea)",0.996,0.002,0.362,68.03,68.03,74,63.1,57.81,6
"002380.KS",2020,"Korea; Republic (S. Korea)",1.093,0.002,0.362,61.02,61.02,61.06,60.52,61.78,1
"002380.KS",2021,"Korea; Republic (S. Korea)",1.035,0.002,0,56.6,56.6,55.75,59.54,53.13,2
"002380.KS",2022,"Korea; Republic (S. Korea)",0.986,0.002,0.322,50.77,50.77,58.64,49.3,39.33,1
"002380.KS",2023,"Korea; Republic (S. Korea)",0.999,0.002,0,15,15,15,17,15,2
"002790.KS",2014,"Korea; Republic (S. Korea)",0,0,0.084,48.87,48.87,57.72,52.2,33.52,8
"002790.KS",2015,"Korea; Republic (S. Korea)",0,0,0.092,49.31,49.31,62.67,58,19.04,11
"002790.KS",2016,"Korea; Republic (S. Korea)",0,0,0.107,49.89,49.89,66.43,60.44,15,17
"002790.KS",2017,"Korea; Republic (S. Korea)",0.49,0.002,0.094,51.65,51.65,65.14,61.05,19.91,16
"002790.KS",2018,"Korea; Republic (S. Korea)",0.471,0.002,0.067,55.44,55.44,69.42,66.09,20.76,13
"002790.KS",2019,"Korea; Republic (S. Korea)",0.712,0.002,0.103,60.68,60.68,71.56,76,18.17,13
"002790.KS",2020,"Korea; Republic (S. Korea)",0,0,0.152,63.15,63.15,72.1,71.38,38.19,11
"002790.KS",2021,"Korea; Republic (S. Korea)",1.198,0.002,0.345,15,15,15,17,15,6
"002790.KS",2022,"Korea; Republic (S. Korea)",1.357,0.002,0.083,61.98,61.98,74,70.05,31.61,8
"002790.KS",2023,"Korea; Republic (S. Korea)",0.254,0.002,0.23,15,15,15,17,15,10
"003490.KS",2014,"Korea; Republic (S. Korea)",0.999,0.002,0.063,59.59,38.89,71.74,61.27,43.76,24
"003490.KS",2015,"Korea; Republic (S. Korea)",1.001,0.002,0.362,61.32,61.32,57.49,68.25,55.33,25
"003490.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.362,56.69,43.62,60.09,61.17,46.37,18
"003490.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.362,63.42,63.42,66.96,63.14,59.95,17
"003490.KS",2018,"Korea; Republic (S. Korea)",1.203,0.002,0.189,74,42.05,64.31,72.79,77,20
"003490.KS",2019,"Korea; Republic (S. Korea)",1.184,0.002,0.362,74,74,64.32,76,77,17
"003490.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.181,74,74,69.34,76,71.36,14
"003490.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.362,74,74,71.88,76,76.94,11
"003490.KS",2022,"Korea; Republic (S. Korea)",1.166,0.002,0.266,70.46,58.56,72.63,70.83,67.54,10
"003490.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.117,15,15,15,17,15,13
"003550.KS",2014,"Korea; Republic (S. Korea)",0,0,0.08,15,15,15,17,35.9,16
"003550.KS",2015,"Korea; Republic (S. Korea)",0,0,0.084,15,15,15,17,25.01,14
"003550.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.062,15.33,15.33,31.6,17,20.03,18
"003550.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.14,20.9,20.9,42.5,17,22.96,17
"003550.KS",2018,"Korea; Republic (S. Korea)",0,0,0.046,16.21,16.21,33.62,17.4,15,13
"003550.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.059,55.72,55.72,66.74,71.3,38.99,10
"003550.KS",2020,"Korea; Republic (S. Korea)",0,0,0.107,55.78,55.78,67.42,58.69,49.81,15
"003550.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.066,47.37,47.37,70.97,59.74,29.64,9
"003550.KS",2022,"Korea; Republic (S. Korea)",0.881,0.002,0.058,51.14,51.14,71.9,59.13,38.07,11
"003550.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.097,15,15,15,17,15,13
"003670.KS",2014,"Korea; Republic (S. Korea)",1.001,0.002,0.065,15,15,15,17,15,3
"003670.KS",2015,"Korea; Republic (S. Korea)",1,0.002,0.04,15,15,15,17,15,3
"003670.KS",2016,"Korea; Republic (S. Korea)",1,0.002,0.138,15,15,15,17,15,6
"003670.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.139,47.18,47.18,39.68,47.17,60.46,7
"003670.KS",2018,"Korea; Republic (S. Korea)",0.999,0.002,0.033,67.15,67.15,64.88,72.71,61.72,16
"003670.KS",2019,"Korea; Republic (S. Korea)",0.999,0.002,0.048,67.84,67.84,63.02,76,53.38,21
"003670.KS",2020,"Korea; Republic (S. Korea)",0.999,0.002,0.086,68.54,68.54,64.1,76,46.9,23
"003670.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.292,74,74,65.18,76,77,25
"003670.KS",2022,"Korea; Republic (S. Korea)",0.999,0.002,0.075,73.81,73.81,63.8,76,66.71,26
"003670.KS",2023,"Korea; Republic (S. Korea)",1,0.002,0.108,74,74,65.38,76,74.13,32
"004000.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.228,15,15,15,17,15,2
"004000.KS",2015,"Korea; Republic (S. Korea)",0.972,0.002,0.362,15,15,15,17,15,4
"004000.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.267,15,15,15,17,15,6
"004000.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.276,15,15,15,17,15,6
"004000.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.07,36.1,36.1,35.42,42.43,26.58,5
"004000.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.033,39.49,39.49,36.18,45.02,35.98,6
"004000.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.031,51.11,51.11,47.43,50.91,57.95,3
"004000.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.011,53.47,53.47,56.83,52.98,48.36,7
"004000.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.144,66.61,66.61,63.78,73.81,59.39,5
"004000.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.362,68.7,68.7,60.41,76,67.35,8
"004020.KS",2014,"Korea; Republic (S. Korea)",0.999,0.002,0.362,63.48,63.48,74,53.8,61.4,33
"004020.KS",2015,"Korea; Republic (S. Korea)",0.999,0.002,0.068,68.36,68.36,74,70.61,51,32
"004020.KS",2016,"Korea; Republic (S. Korea)",1,0.002,0.092,66.68,66.68,74,65.27,49.46,29
"004020.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.115,69.37,69.37,74,66.84,65.71,33
"004020.KS",2018,"Korea; Republic (S. Korea)",0.999,0.002,0.076,68.45,68.45,73.84,71.49,55.77,28
"004020.KS",2019,"Korea; Republic (S. Korea)",1,0.002,0.234,73.19,73.19,74,76,55.37,29
"004020.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.362,74,74,74,74.67,56.74,27
"004020.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.297,74,74,74,74.85,64.75,23
"004020.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.216,74,74,74,76,75.06,20
"004020.KS",2023,"Korea; Republic (S. Korea)",1,0.002,0.081,74,74,74,76,70.57,18
"004170.KS",2014,"Korea; Republic (S. Korea)",0,0,0.141,19.86,19.86,20.56,17,27.64,28
"004170.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.066,22.84,22.84,23.73,17,33.83,31
"004170.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.19,19.33,19.33,17.92,17,30.03,27
"004170.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.227,23.67,23.67,21.14,17,40.25,30
"004170.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.071,23.23,23.23,27.79,17,35.05,26
"004170.KS",2019,"Korea; Republic (S. Korea)",0,0,0.222,17.58,17.58,29.77,17,15,29
"004170.KS",2020,"Korea; Republic (S. Korea)",0,0,0.037,33.55,33.55,38.66,24.23,38.65,28
"004170.KS",2021,"Korea; Republic (S. Korea)",0,0,0.362,39,39,51.61,36.62,30.52,29
"004170.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.206,57.89,57.89,63.81,67.51,42.76,28
"004170.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.099,15,15,15,17,15,24
"004370.KS",2014,"Korea; Republic (S. Korea)",1.412,0.002,0.362,15,15,15,17,15,12
"004370.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.037,15,15,15,17,15,16
"004370.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.088,15,15,15,17,15,19
"004370.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.236,15,15,15,17,15,20
"004370.KS",2018,"Korea; Republic (S. Korea)",0.996,0.002,0.057,15,15,15,17,15,16
"004370.KS",2019,"Korea; Republic (S. Korea)",1.128,0.002,0.032,29.16,29.16,33.57,20.38,39.47,14
"004370.KS",2020,"Korea; Republic (S. Korea)",1.046,0.002,0.072,27.07,27.07,45.22,26.75,15,17
"004370.KS",2021,"Korea; Republic (S. Korea)",0.995,0.002,0.033,41.97,41.97,57.4,43.9,21.65,14
"004370.KS",2022,"Korea; Republic (S. Korea)",0.998,0.002,0.031,57.96,57.96,74,67.13,20.42,14
"004370.KS",2023,"Korea; Republic (S. Korea)",0.997,0.002,0.122,15,15,15,17,15,14
"004800.KS",2014,"Korea; Republic (S. Korea)",0.994,0.002,0.045,19.35,19.35,36.7,17,15,8
"004800.KS",2015,"Korea; Republic (S. Korea)",0.999,0.002,0.289,16.94,16.94,33.75,17,15,6
"004800.KS",2016,"Korea; Republic (S. Korea)",0.999,0.002,0.299,15,15,24.99,17,15,9
"004800.KS",2017,"Korea; Republic (S. Korea)",0.984,0.002,0.102,18,18,34.49,17,15,12
"004800.KS",2018,"Korea; Republic (S. Korea)",0.994,0.002,0.102,39.64,39.64,62.54,29.04,23.31,3
"004800.KS",2019,"Korea; Republic (S. Korea)",0.989,0.002,0.003,42.33,42.33,56.47,27.46,45.82,3
"004800.KS",2020,"Korea; Republic (S. Korea)",0.998,0.002,0.061,52.63,52.63,63.59,51.61,38.22,3
"004800.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.362,64.5,64.5,68.75,69.08,50.8,4
"004800.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.032,62.17,62.17,69.01,63.19,50.47,3
"004800.KS",2023,"Korea; Republic (S. Korea)",0.038,0.002,0.362,15,15,15,17,15,3
"004990.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.126,15,15,15,17,15,5
"004990.KS",2015,"Korea; Republic (S. Korea)",0.296,0.002,0.053,15,15,15,17,18.95,7
"004990.KS",2016,"Korea; Republic (S. Korea)",0.09,0.002,0.018,15,15,15,17,18.29,6
"004990.KS",2017,"Korea; Republic (S. Korea)",0.122,0.002,0.073,15,15,15,17,22.37,4
"004990.KS",2018,"Korea; Republic (S. Korea)",0.917,0.002,0,28.84,28.84,15,17.97,62.04,3
"004990.KS",2019,"Korea; Republic (S. Korea)",0.67,0.002,0.166,40.5,40.5,26.78,24.64,68.61,3
"004990.KS",2020,"Korea; Republic (S. Korea)",0.022,0.002,0.106,35.47,35.47,21.46,36.67,46.37,5
"004990.KS",2021,"Korea; Republic (S. Korea)",0.672,0.002,0.362,43.26,43.26,39.04,42.01,48.21,3
"004990.KS",2022,"Korea; Republic (S. Korea)",0.507,0.002,0.338,56.6,48.09,54.36,51.15,64.13,4
"004990.KS",2023,"Korea; Republic (S. Korea)",0.299,0.002,0.24,15,15,15,17,15,4
"005300.KS",2014,"Korea; Republic (S. Korea)",0,0,0.362,15,15,15,17,15,17
"005300.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.161,15,15,15,17,15,19
"005300.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.126,15,15,15,17,15,11
"005300.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.076,16.18,16.18,15,17.74,21.46,9
